Fury of the Storm
2 5 38037 39037
3 5 38112 39112
2 5 38187 39187
3 5 38262 39262
1 5 38337 39337
1 5 38487 39487
0 5 38637 39637
3 5 38787 39787
1 5 38862 39862
3 5 38937 39937
1 5 39012 40012
3 5 39162 40162
1 5 39237 40237
2 5 39312 40312
0 5 39462 40462
2 5 39537 40537
0 5 39612 40612
3 5 39762 40762
0 5 39837 40837
2 5 39912 40912
2 5 40062 41062
3 5 40137 41137
2 5 40212 41212
2 5 40362 41362
1 5 40437 41437
2 5 40512 41512
0 5 40662 41662
2 5 40737 41737
3 5 40812 41812
2 5 40962 41962
0 5 41037 42037
3 5 41112 42112
3 5 41262 42262
2 5 41337 42337
1 5 41412 42412
3 5 41562 42562
1 5 41637 42637
2 5 41712 42712
0 5 41862 42862
3 5 41937 42937
2 5 42012 43012
3 5 42162 43162
0 5 42237 43237
2 5 42312 43312
1 5 42462 43462
3 5 42462 43462
1 5 42612 43612
3 5 42612 43612
3 5 42762 43762
3 5 42912 43912
0 5 42912 43912
1 5 43062 44062
0 5 43062 44062
3 5 43212 44212
1 5 43362 44362
3 5 43362 44362
3 5 43512 44512
3 5 43662 44662
1 5 43662 44662
3 5 43812 44812
1 5 43887 44887
3 5 43962 44962
2 5 44112 45112
0 5 44187 45187
2 5 44262 45262
2 5 44412 45412
0 5 44487 45487
3 5 44562 45562
2 5 44712 45712
1 5 44787 45787
0 5 44862 45862
0 5 45012 46012
1 5 45087 46087
2 5 45162 46162
2 5 45312 46312
0 5 45387 46387
2 5 45462 46462
1 5 45612 46612
0 5 45687 46687
2 5 45762 46762
3 5 45912 46912
1 5 45987 46987
0 5 46062 47062
1 5 46137 47137
0 5 46212 47212
1 5 46287 47287
0 5 46362 47362
3 5 46512 47512
2 5 46587 47587
0 5 46662 47662
2 5 46812 47812
1 5 46962 47962
3 5 47112 48112
1 5 47262 48262
3 5 47262 48262
1 5 47412 48412
1 5 47562 48562
0 5 47712 48712
3 5 47862 48862
2 5 48012 49012
3 5 48162 49162
2 5 48312 49312
0 5 48462 49462
1 5 48462 49462
1 5 48612 49612
2 5 48762 49762
3 5 48912 49912
3 5 49062 50062
2 5 49212 50212
1 5 49362 50362
3 5 49512 50512
3 5 49662 50662
2 5 49662 50662
3 5 49962 50962
2 5 50312 51312
1 5 50862 51862
3 5 50862 51862
3 5 51012 52012
2 5 51087 52087
0 5 51162 52162
2 5 51312 52312
3 5 51387 52387
1 5 51462 52462
3 5 51612 52612
1 5 51762 52762
3 5 51837 52837
0 5 51912 52912
2 5 52062 53062
3 5 52137 53137
2 5 52287 53287
3 5 52362 53362
2 5 52512 53512
3 5 52587 53587
2 5 52737 53737
3 5 52812 53812
2 5 52962 53962
2 5 53112 54112
1 5 53262 54262
0 5 53337 54337
1 5 53412 54412
3 5 53562 54562
2 5 53637 54637
3 5 53712 54712
2 5 53862 54862
3 5 53937 54937
3 5 54087 55087
1 5 54162 55162
2 5 54312 55312
0 5 54387 55387
3 5 54462 55462
3 5 54612 55612
2 5 54762 55762
1 5 54837 55837
0 5 54912 55912
1 5 55062 56062
3 5 55212 56212
1 5 55287 56287
0 5 55362 56362
1 5 55437 56437
0 5 55512 56512
1 5 55587 56587
0 5 55662 56662
1 5 55812 56812
3 5 55887 56887
1 5 55962 56962
0 5 56112 57112
2 5 56187 57187
0 5 56262 57262
2 5 56412 57412
3 5 56487 57487
2 5 56562 57562
3 5 56712 57712
1 5 56787 57787
3 5 56862 57862
2 5 57012 58012
2 5 57162 58162
0 5 57237 58237
3 5 57312 58312
3 5 57462 58462
3 5 57612 58612
1 5 57687 58687
3 5 57837 58837
2 5 57987 58987
0 5 58062 59062
2 5 58212 59212
3 5 58287 59287
2 5 58362 59362
3 5 58512 59512
2 5 58587 59587
3 5 58662 59662
1 5 58812 59812
3 5 58887 59887
1 5 58962 59962
3 5 59112 60112
0 5 59187 60187
2 5 59262 60262
0 5 59337 60337
1 5 59412 60412
0 5 59487 60487
1 5 59562 60562
2 5 59712 60712
3 5 59787 60787
2 5 59937 60937
3 5 60087 61087
0 5 60237 61237
2 5 60387 61387
0 5 60462 61462
2 5 60537 61537
0 5 60612 61612
2 5 60762 61762
0 5 60837 61837
3 5 60912 61912
1 5 61062 62062
3 5 61137 62137
1 5 61212 62212
2 5 61362 62362
1 5 61437 62437
3 5 61512 62512
3 5 61662 62662
2 5 61737 62737
3 5 61812 62812
3 5 61962 62962
0 5 62037 63037
3 5 62112 63112
1 5 62262 63262
3 5 62337 63337
2 5 62412 63412
3 5 62562 63562
1 5 62637 63637
2 5 62712 63712
2 5 62862 63862
3 5 62937 63937
0 5 63012 64012
2 5 63162 64162
0 5 63237 64237
3 5 63312 64312
1 5 63462 64462
2 5 63537 64537
3 5 63612 64612
2 5 63762 64762
1 5 63837 64837
3 5 63912 64912
2 5 64062 65062
3 5 64137 65137
2 5 64212 65212
2 5 64362 65362
0 5 64437 65437
3 5 64512 65512
1 5 64662 65662
2 5 64737 65737
1 5 64812 65812
3 5 64962 65962
1 5 65037 66037
2 5 65187 66187
0 5 65262 66262
2 5 65337 66337
0 5 65412 66412
2 5 65562 66562
0 5 65637 66637
3 5 65712 66712
1 5 65862 66862
3 5 65937 66937
1 5 66012 67012
2 5 66162 67162
1 5 66237 67237
3 5 66312 67312
3 5 66462 67462
2 5 66537 67537
3 5 66612 67612
3 5 66762 67762
0 5 66837 67837
3 5 66912 67912
1 5 67062 68062
3 5 67137 68137
2 5 67212 68212
3 5 67362 68362
1 5 67437 68437
2 5 67512 68512
2 5 67662 68662
3 5 67737 68737
0 5 67812 68812
2 5 67962 68962
0 5 68037 69037
3 5 68112 69112
1 5 68262 69262
2 5 68337 69337
3 5 68412 69412
2 5 68562 69562
1 5 68637 69637
3 5 68712 69712
0 5 68862 69862
2 5 68937 69937
0 5 69012 70012
2 5 69087 70087
0 5 69162 70162
2 5 69237 70237
0 5 69312 70312
2 5 69387 70387
0 5 69462 70462
2 5 69537 70537
0 5 69612 70612
2 5 69687 70687
3 5 69762 70762
2 5 69837 70837
3 5 69912 70912
2 5 69987 70987
3 5 70062 71062
2 5 70137 71137
3 5 70212 71212
1 5 70362 71362
3 5 70437 71437
1 5 70512 71512
3 5 70662 71662
2 5 70737 71737
3 5 70812 71812
3 5 70962 71962
2 5 71037 72037
0 5 71112 72112
3 5 71262 72262
2 5 71337 72337
3 5 71487 72487
1 5 71562 72562
3 5 71712 72712
2 5 71787 72787
0 5 71937 72937
1 5 72012 73012
0 5 72162 73162
2 5 72312 73312
2 5 72462 73462
1 5 72537 73537
2 5 72612 73612
1 5 72762 73762
2 5 72837 73837
0 5 72912 73912
1 5 73062 74062
3 5 73137 74137
1 5 73212 74212
0 5 73362 74362
1 5 73437 74437
0 5 73512 74512
1 5 73662 74662
3 5 73737 74737
0 5 73812 74812
3 5 73962 74962
1 5 74037 75037
2 5 74112 75112
0 5 74262 75262
2 5 74337 75337
1 5 74412 75412
2 5 74562 75562
3 5 74637 75637
2 5 74712 75712
3 5 74787 75787
1 5 74862 75862
3 5 74937 75937
2 5 75012 76012
3 5 75162 76162
0 5 75237 76237
3 5 75312 76312
3 5 75462 76462
1 5 75537 76537
3 5 75612 76612
1 5 75762 76762
2 5 75837 76837
0 5 75912 76912
3 5 76062 77062
2 5 76137 77137
3 5 76287 77287
2 5 76362 77362
3 5 76512 77512
2 5 76587 77587
3 5 76737 77737
1 5 76812 77812
3 5 76962 77962
0 5 77112 78112
1 5 77262 78262
0 5 77337 78337
3 5 77412 78412
2 5 77562 78562
3 5 77637 78637
2 5 77712 78712
3 5 77862 78862
2 5 77937 78937
0 5 78012 79012
1 5 78162 79162
0 5 78237 79237
3 5 78312 79312
3 5 78462 79462
2 5 78537 79537
3 5 78612 79612
2 5 78687 79687
3 5 78762 79762
2 5 78837 79837
3 5 78912 79912
2 5 78987 79987
3 5 79062 80062
1 5 79137 80137
0 5 79212 80212
2 5 79362 80362
0 5 79437 80437
2 5 79587 80587
0 5 79662 80662
2 5 79812 80812
3 5 80112 81112
2 5 80112 81112
1 5 80412 81412
2 5 80562 81562
2 5 80712 81712
0 5 80862 81862
2 5 81012 82012
1 5 81312 82312
3 5 81312 82312
0 5 81612 82612
3 5 81762 82762
2 5 81912 82912
0 5 82062 83062
0 5 82212 83212
1 5 82512 83512
3 5 82512 83512
2 5 82812 83812
0 5 82962 83962
2 5 83112 84112
0 5 83262 84262
1 5 83337 84337
0 5 83412 84412
1 5 83487 84487
0 5 83562 84562
1 5 83637 84637
0 5 83712 84712
1 5 83787 84787
0 5 83937 84937
2 5 84087 85087
1 5 84162 85162
2 5 84462 85462
3 5 84612 85612
1 5 84912 85912
0 5 84912 85912
0 5 85212 86212
2 5 85362 86362
3 5 85512 86512
1 5 85662 86662
0 5 85812 86812
1 5 86112 87112
3 5 86112 87112
2 5 86412 87412
0 5 86562 87562
0 5 86712 87712
2 5 86862 87862
3 5 87012 88012
3 5 87312 88312
2 5 87312 88312
2 5 87612 88612
3 5 87762 88762
1 5 87912 88912
0 5 88062 89062
1 5 88137 89137
0 5 88212 89212
1 5 88287 89287
0 5 88362 89362
1 5 88512 89512
3 5 88587 89587
1 5 88662 89662
0 5 88737 89737
1 5 88812 89812
0 5 88887 89887
1 5 88962 89962
0 5 89037 90037
2 5 89112 90112
0 5 89262 90262
1 5 89262 90262
3 5 89412 90412
2 5 89562 90562
0 5 89712 90712
0 5 89862 90862
3 5 90012 91012
3 5 90237 91237
0 5 90312 91312
3 5 90612 91612
2 5 90762 91762
0 5 90912 91912
0 5 91062 92062
3 5 91212 92212
3 5 91437 92437
0 5 91512 92512
0 5 91812 92812
3 5 91962 92962
1 5 92112 93112
0 5 92262 93262
1 5 92412 93412
3 5 92637 93637
0 5 92712 93712
0 5 93012 94012
3 5 93162 94162
1 5 93312 94312
0 5 93462 94462
3 5 93612 94612
3 5 93799 94799
1 5 93874 94874
3 5 93949 94949
1 5 94024 95024
1 5 94212 95212
3 5 94362 95362
1 5 94512 95512
2 5 94662 95662
3 5 94812 95812
3 5 95037 96037
1 5 95112 96112
1 5 95412 96412
3 5 95562 96562
1 5 95712 96712
2 5 95862 96862
3 5 96012 97012
3 5 96237 97237
2 5 96312 97312
2 5 96612 97612
1 5 96762 97762
1 5 96912 97912
2 5 97062 98062
0 5 97212 98212
1 5 97437 98437
0 5 97512 98512
2 5 97662 98662
0 5 97737 98737
1 5 97812 98812
2 5 97962 98962
0 5 98112 99112
2 5 98187 99187
0 5 98262 99262
2 5 98337 99337
2 5 98487 99487
0 5 98562 99562
1 5 98637 99637
0 5 98712 99712
1 5 98862 99862
0 5 98862 99862
3 5 99012 100012
3 5 99162 100162
1 5 99312 100312
0 5 99312 100312
0 5 99462 100462
2 5 99612 100612
0 5 99762 100762
1 5 99762 100762
1 5 99912 100912
3 5 100062 101062
1 5 100062 101062
3 5 100212 101212
2 5 100362 101362
2 5 100512 101512
0 5 100512 101512
2 5 100662 101662
0 5 100812 101812
1 5 100962 101962
0 5 100962 101962
3 5 101112 102112
1 5 101262 102262
0 5 101262 102262
0 5 101412 102412
2 5 101562 102562
3 5 101712 102712
2 5 101712 102712
2 5 101862 102862
0 5 102012 103012
1 5 102162 103162
0 5 102162 103162
0 5 102312 103312
2 5 102462 103462
0 5 102462 103462
2 5 102612 103612
3 5 102762 103762
2 5 102912 103912
0 5 103062 104062
2 5 103212 104212
3 5 103362 104362
1 5 103512 104512
3 5 103662 104662
1 5 103662 104662
3 5 103812 104812
1 5 103962 104962
1 5 104112 105112
0 5 104112 105112
0 5 104262 105262
2 5 104412 105412
2 5 104562 105562
0 5 104562 105562
2 5 104712 105712
2 5 104862 105862
3 5 104937 105937
2 5 105012 106012
3 5 105087 106087
2 5 105162 106162
3 5 105237 106237
2 5 105312 106312
3 5 105387 106387
2 5 105462 106462
3 5 105537 106537
1 5 105612 106612
1 5 105762 106762
3 5 105837 106837
0 5 105912 106912
3 5 106062 107062
2 5 106137 107137
3 5 106212 107212
2 5 106287 107287
3 5 106362 107362
2 5 106437 107437
3 5 106512 107512
2 5 106587 107587
3 5 106662 107662
2 5 106737 107737
3 5 106812 107812
2 5 106887 107887
3 5 106962 107962
2 5 107037 108037
0 5 107112 108112
2 5 107262 108262
0 5 107262 108262
3 5 107912 108912
1 5 108462 109462
0 5 108462 109462
3 5 108612 109612
3 5 108762 109762
2 5 108837 109837
1 5 108912 109912
2 5 108987 109987
1 5 109062 110062
1 5 109212 110212
1 5 109362 110362
0 5 109362 110362
0 5 109512 110512
2 5 109662 110662
0 5 109662 110662
0 5 109812 110812
1 5 109812 110812
1 5 109962 110962
2 5 110037 111037
2 5 110187 111187
0 5 110262 111262
2 5 110337 111337
0 5 110487 111487
1 5 110562 111562
0 5 110637 111637
1 5 110787 111787
3 5 110862 111862
1 5 110937 111937
0 5 111087 112087
2 5 111162 112162
2 5 111312 112312
0 5 111312 112312
2 5 111462 112462
3 5 111537 112537
1 5 111687 112687
3 5 111762 112762
1 5 111837 112837
3 5 111987 112987
2 5 112062 113062
3 5 112137 113137
2 5 112212 113212
3 5 112287 113287
1 5 112362 113362
3 5 112512 113512
2 5 112662 113662
0 5 112662 113662
3 5 112812 113812
1 5 112962 113962
0 5 112962 113962
0 5 113112 114112
1 5 113262 114262
0 5 113262 114262
2 5 113412 114412
0 5 113487 114487
1 5 113562 114562
0 5 113712 114712
1 5 113712 114712
0 5 113862 114862
2 5 113937 114937
3 5 114012 115012
2 5 114162 115162
0 5 114237 115237
1 5 114312 115312
3 5 114462 115462
1 5 114462 115462
1 5 114612 115612
3 5 114687 115687
1 5 114762 115762
3 5 114837 115837
2 5 114912 115912
3 5 114987 115987
0 5 115062 116062
3 5 115212 116212
2 5 115287 116287
3 5 115362 116362
2 5 115437 116437
0 5 115512 116512
0 5 115662 116662
2 5 115662 116662
1 5 115812 116812
0 5 115962 116962
0 5 116112 117112
2 5 116112 117112
2 5 116262 117262
3 5 116337 117337
2 5 116412 117412
3 5 116487 117487
2 5 116562 117562
3 5 116637 117637
2 5 116712 117712
3 5 116787 117787
2 5 116862 117862
3 5 116937 117937
3 5 117087 118087
1 5 117162 118162
0 5 117237 118237
2 5 117312 118312
0 5 117387 118387
3 5 117537 118537
0 5 117687 118687
1 5 117837 118837
3 5 117987 118987
1 5 118062 119062
0 5 118062 119062
0 5 118212 119212
3 5 118437 119437
2 5 118512 119512
0 5 118812 119812
3 5 118962 119962
2 5 119112 120112
2 5 119262 120262
0 5 119262 120262
1 5 119412 120412
3 5 119637 120637
1 5 119712 120712
0 5 120012 121012
3 5 120162 121162
1 5 120312 121312
0 5 120462 121462
1 5 120462 121462
2 5 120612 121612
2 5 120837 121837
1 5 120912 121912
1 5 121212 122212
2 5 121362 122362
2 5 121512 122512
3 5 121662 122662
0 5 121812 122812
0 5 121962 122962
1 5 122037 123037
0 5 122112 123112
1 5 122187 123187
2 5 122337 123337
2 5 122487 123487
3 5 122637 123637
2 5 122787 123787
0 5 122862 123862
2 5 123162 124162
3 5 123762 124762
0 5 124062 125062
3 5 124612 125612
1 5 125262 126262
0 5 125262 126262
3 5 125412 126412
1 5 125562 126562
3 5 125637 126637
1 5 125712 126712
3 5 125862 126862
3 5 126012 127012
0 5 126087 127087
1 5 126162 127162
0 5 126312 127312
2 5 126387 127387
0 5 126462 127462
1 5 126612 127612
2 5 126762 127762
3 5 126837 127837
1 5 126912 127912
0 5 127062 128062
1 5 127212 128212
0 5 127287 128287
1 5 127362 128362
0 5 127437 128437
1 5 127512 128512
0 5 127587 128587
1 5 127662 128662
0 5 127812 128812
3 5 127962 128962
2 5 128037 129037
0 5 128112 129112
2 5 128262 129262
2 5 128412 129412
1 5 128487 129487
2 5 128562 129562
1 5 128712 129712
2 5 128787 129787
0 5 128862 129862
3 5 129012 130012
3 5 129162 130162
2 5 129237 130237
0 5 129312 130312
2 5 129462 130462
0 5 129612 130612
2 5 129687 130687
0 5 129762 130762
2 5 129912 130912
3 5 130062 131062
1 5 130137 131137
3 5 130287 131287
2 5 130362 131362
2 5 130512 131512
0 5 130587 131587
2 5 130737 131737
1 5 130812 131812
1 5 130962 131962
3 5 131037 132037
2 5 131112 132112
0 5 131262 132262
2 5 131337 132337
3 5 131487 132487
1 5 131562 132562
2 5 131712 132712
3 5 131787 132787
2 5 131937 132937
3 5 132012 133012
1 5 132162 133162
3 5 132237 133237
1 5 132312 133312
3 5 132462 133462
2 5 132537 133537
0 5 132687 133687
3 5 132762 133762
1 5 132912 133912
0 5 132987 133987
1 5 133137 134137
0 5 133212 134212
3 5 133362 134362
1 5 133437 134437
0 5 133512 134512
1 5 133662 134662
0 5 133737 134737
2 5 133887 134887
3 5 133962 134962
1 5 134112 135112
0 5 134187 135187
1 5 134337 135337
0 5 134412 135412
1 5 134562 135562
0 5 134637 135637
3 5 134712 135712
3 5 134862 135862
1 5 134937 135937
3 5 135087 136087
0 5 135162 136162
1 5 135312 136312
3 5 135387 136387
3 5 135537 136537
0 5 135612 136612
3 5 135762 136762
0 5 135837 136837
3 5 135912 136912
0 5 136062 137062
2 5 136162 137162
3 5 136262 137262
1 5 136362 137362
0 5 136462 137462
2 5 136562 137562
1 5 136662 137662
3 5 136762 137762
1 5 136812 137812
1 5 136962 137962
3 5 137037 138037
0 5 137112 138112
0 5 137262 138262
2 5 137362 138362
3 5 137462 138462
0 5 137562 138562
2 5 137662 138662
2 5 137762 138762
0 5 137862 138862
3 5 137962 138962
1 5 138012 139012
1 5 138162 139162
3 5 138237 139237
0 5 138312 139312
3 5 138462 139462
2 5 138537 139537
3 5 138612 139612
2 5 138687 139687
3 5 138762 139762
2 5 138837 139837
3 5 138912 139912
2 5 138987 139987
0 5 139062 140062
0 5 139212 140212
1 5 139362 140362
2 5 139512 140512
1 5 139662 140662
2 5 139662 140662
3 5 139812 140812
2 5 139887 140887
1 5 139962 140962
2 5 140112 141112
3 5 140187 141187
2 5 140337 141337
3 5 140412 141412
1 5 140562 141562
3 5 140637 141637
2 5 140712 141712
3 5 140862 141862
2 5 140937 141937
0 5 141012 142012
3 5 141162 142162
1 5 141237 142237
0 5 141312 142312
3 5 141462 142462
2 5 141537 142537
0 5 141612 142612
3 5 141762 142762
2 5 141837 142837
0 5 141912 142912
2 5 142062 143062
3 5 142137 143137
0 5 142212 143212
0 5 142362 143362
1 5 142362 143362
3 5 142512 143512
3 5 142662 143662
1 5 142662 143662
3 5 142812 143812
1 5 142962 143962
2 5 143037 144037
3 5 143187 144187
0 5 143262 144262
2 5 143362 144362
3 5 143462 144462
1 5 143562 144562
3 5 143612 144612
1 5 143712 144712
0 5 143812 144812
3 5 143912 144912
0 5 144012 145012
1 5 144112 145112
2 5 144212 145212
1 5 144312 145312
3 5 144412 145412
1 5 144462 145462
3 5 144537 145537
1 5 144612 145612
2 5 144762 145762
0 5 144837 145837
1 5 144912 145912
3 5 145062 146062
1 5 145137 146137
0 5 145212 146212
0 5 145362 146362
2 5 145437 146437
1 5 145512 146512
3 5 145662 146662
2 5 145737 146737
3 5 145887 146887
2 5 145962 146962
3 5 146112 147112
2 5 146187 147187
3 5 146337 147337
2 5 146412 147412
3 5 146562 147562
0 5 146712 147712
0 5 146862 147862
1 5 146937 147937
0 5 147012 148012
2 5 147162 148162
3 5 147237 148237
2 5 147312 148312
3 5 147462 148462
2 5 147537 148537
2 5 147687 148687
0 5 147762 148762
3 5 147912 148912
1 5 147987 148987
2 5 148062 149062
2 5 148212 149212
3 5 148362 149362
0 5 148437 149437
1 5 148512 149512
0 5 148662 149662
2 5 148812 149812
0 5 148887 149887
1 5 148962 149962
0 5 149037 150037
1 5 149112 150112
0 5 149187 150187
1 5 149262 150262
0 5 149412 150412
2 5 149487 150487
0 5 149562 150562
1 5 149712 150712
3 5 149787 150787
1 5 149862 150862
3 5 150012 151012
2 5 150087 151087
3 5 150162 151162
2 5 150312 151312
0 5 150387 151387
2 5 150462 151462
3 5 150612 151612
3 5 150762 151762
1 5 150837 151837
2 5 150912 151912
2 5 151062 152062
2 5 151212 152212
0 5 151287 152287
2 5 151437 152437
3 5 151587 152587
1 5 151662 152662
3 5 151812 152812
2 5 151887 152887
3 5 151962 152962
2 5 152112 153112
3 5 152187 153187
2 5 152262 153262
3 5 152412 153412
1 5 152562 153562
3 5 152637 153637
0 5 152712 153712
0 5 152862 153862
2 5 152937 153937
3 5 153012 154012
2 5 153087 154087
3 5 153162 154162
2 5 153237 154237
0 5 153312 154312
1 5 153462 154462
0 5 153612 154612
3 5 153762 154762
1 5 153837 154837
0 5 153912 154912
3 5 154062 155062
1 5 154062 155062
3 5 154212 155212
3 5 154362 155362
3 5 154512 155512
2 5 154512 155512
0 5 154662 155662
0 5 154812 155812
1 5 154962 155962
0 5 154962 155962
1 5 155112 156112
1 5 155262 156262
3 5 155262 156262
1 5 155412 156412
3 5 155562 156562
1 5 155712 156712
3 5 155712 156712
2 5 155862 156862
3 5 156012 157012
2 5 156162 157162
0 5 156162 157162
2 5 156312 157312
1 5 156462 157462
2 5 156462 157462
0 5 156612 157612
2 5 156762 157762
1 5 156912 157912
3 5 156912 157912
2 5 157062 158062
0 5 157212 158212
3 5 157362 158362
1 5 157362 158362
3 5 157512 158512
3 5 157662 158662
2 5 157737 158737
3 5 157812 158812
2 5 157887 158887
3 5 157962 158962
2 5 158037 159037
3 5 158112 159112
2 5 158187 159187
3 5 158262 159262
1 5 158412 159412
0 5 158562 159562
3 5 158712 159712
1 5 158862 159862
