Starlight (feat. Ronnie Atkins)
1 5 37385 38385
2 5 37696 38696
0 5 38007 39007
3 5 38007 39007
1 5 38317 39317
2 5 38628 39628
3 5 38628 39628
0 5 38784 39784
0 5 38939 39939
1 5 38939 39939
1 5 39095 40095
2 5 39250 40250
3 5 39250 40250
3 5 39406 40406
1 5 39561 40561
1 5 39716 40716
0 5 39872 40872
3 5 39872 40872
3 5 40027 41027
1 5 40183 41183
1 5 40338 41338
0 5 40494 41494
3 5 40494 41494
3 5 40649 41649
1 5 40805 41805
1 5 40960 41960
2 5 41115 42115
3 5 41115 42115
3 5 41271 42271
0 5 41426 42426
1 5 41426 42426
2 5 41426 42426
0 5 41582 42582
1 5 41737 42737
3 5 41737 42737
1 5 42048 43048
1 5 42203 43203
0 5 42359 43359
3 5 42359 43359
0 5 42670 43670
3 5 42670 43670
3 5 42825 43825
1 5 42981 43981
2 5 42981 43981
1 5 43292 44292
1 5 43447 44447
2 5 43602 44602
3 5 43602 44602
1 5 43913 44913
2 5 43913 44913
3 5 43913 44913
2 5 44069 45069
0 5 44224 45224
3 5 44224 45224
3 5 44535 45535
3 5 44691 45691
0 5 44846 45846
2 5 44846 45846
0 5 45157 46157
2 5 45157 46157
0 5 45312 46312
1 5 45468 46468
3 5 45468 46468
1 5 45779 46779
1 5 45934 46934
0 5 46090 47090
3 5 46090 47090
1 5 46245 47245
0 5 46400 47400
1 5 46400 47400
3 5 46400 47400
1 5 46556 47556
0 5 46711 47711
2 5 46711 47711
2 5 47022 48022
2 5 47178 48178
0 5 47333 48333
1 5 47333 48333
1 5 47644 48644
3 5 47644 48644
1 5 47799 48799
0 5 47955 48955
2 5 47955 48955
0 5 48266 49266
0 5 48421 49421
1 5 48577 49577
2 5 48577 49577
0 5 48732 49732
0 5 48887 49887
1 5 48887 49887
2 5 48887 49887
0 5 49198 50198
3 5 49198 50198
3 5 49509 50509
3 5 49665 50665
0 5 49820 50820
1 5 49820 50820
1 5 50131 51131
1 5 50286 51286
0 5 50442 51442
3 5 50442 51442
3 5 50753 51753
3 5 50908 51908
0 5 51064 52064
1 5 51064 52064
3 5 51219 52219
0 5 51374 52374
1 5 51374 52374
3 5 51374 52374
3 5 51530 52530
1 5 51841 52841
2 5 51996 52996
3 5 51996 52996
2 5 52463 53463
3 5 52773 53773
3 5 52929 53929
1 5 53240 54240
2 5 53240 54240
2 5 53706 54706
1 5 53862 54862
2 5 53862 54862
3 5 53862 54862
3 5 54017 55017
3 5 54172 55172
0 5 54328 55328
3 5 54328 55328
0 5 54483 55483
3 5 54483 55483
0 5 54639 55639
1 5 54639 55639
3 5 54639 55639
0 5 54794 55794
1 5 54794 55794
3 5 54794 55794
0 5 54950 55950
1 5 54950 55950
3 5 54950 55950
0 5 55105 56105
1 5 55105 56105
3 5 55105 56105
0 5 55727 56727
1 5 55727 56727
2 5 55727 56727
1 5 55882 56882
2 5 55882 56882
3 5 55882 56882
0 5 56038 57038
2 5 56038 57038
3 5 56038 57038
0 5 56193 57193
1 5 56193 57193
3 5 56193 57193
0 5 56349 57349
1 5 56349 57349
2 5 56349 57349
3 5 56504 57504
0 5 56659 57659
1 5 56659 57659
1 5 56815 57815
2 5 56815 57815
3 5 56815 57815
0 5 56970 57970
2 5 57126 58126
0 5 57281 58281
1 5 57281 58281
2 5 57281 58281
3 5 57281 58281
1 5 57437 58437
0 5 57592 58592
2 5 57748 58748
0 5 57903 58903
3 5 57903 58903
1 5 58058 59058
2 5 58058 59058
0 5 58214 59214
1 5 58214 59214
3 5 58214 59214
0 5 58369 59369
2 5 58369 59369
3 5 58369 59369
0 5 58525 59525
1 5 58525 59525
2 5 58525 59525
3 5 58525 59525
0 5 58680 59680
1 5 58680 59680
3 5 58680 59680
1 5 58836 59836
2 5 58836 59836
3 5 58836 59836
0 5 58991 59991
2 5 59146 60146
3 5 59146 60146
0 5 59302 60302
1 5 59302 60302
2 5 59302 60302
3 5 59457 60457
0 5 59613 60613
0 5 59768 60768
1 5 59768 60768
2 5 59768 60768
3 5 59768 60768
2 5 59924 60924
1 5 60079 61079
0 5 60235 61235
1 5 60390 61390
3 5 60390 61390
2 5 60545 61545
0 5 60701 61701
1 5 60701 61701
3 5 60701 61701
0 5 60856 61856
1 5 60856 61856
2 5 60856 61856
0 5 61012 62012
1 5 61012 62012
2 5 61012 62012
3 5 61012 62012
0 5 61167 62167
2 5 61167 62167
3 5 61167 62167
0 5 61323 62323
1 5 61323 62323
3 5 61323 62323
2 5 61478 62478
0 5 61634 62634
1 5 61634 62634
1 5 61789 62789
2 5 61789 62789
3 5 61789 62789
0 5 61944 62944
2 5 62100 63100
0 5 62255 63255
1 5 62255 63255
2 5 62255 63255
3 5 62255 63255
0 5 62411 63411
1 5 62566 63566
2 5 62722 63722
0 5 62877 63877
1 5 62877 63877
3 5 63033 64033
0 5 63188 64188
1 5 63188 64188
2 5 63188 64188
0 5 63343 64343
1 5 63343 64343
3 5 63343 64343
0 5 63499 64499
1 5 63499 64499
2 5 63499 64499
3 5 63499 64499
0 5 63654 64654
2 5 63654 64654
3 5 63654 64654
1 5 63810 64810
2 5 63810 64810
3 5 63810 64810
0 5 63965 64965
1 5 64121 65121
3 5 64121 65121
0 5 64276 65276
1 5 64276 65276
2 5 64276 65276
3 5 64431 65431
0 5 64587 65587
0 5 64742 65742
1 5 64742 65742
2 5 64742 65742
3 5 64742 65742
3 5 64898 65898
1 5 65053 66053
0 5 65209 66209
2 5 65209 66209
3 5 65364 66364
1 5 65520 66520
0 5 65675 66675
1 5 65675 66675
2 5 65675 66675
3 5 65675 66675
0 5 65830 66830
2 5 65830 66830
3 5 65830 66830
0 5 65986 66986
1 5 65986 66986
2 5 65986 66986
3 5 65986 66986
0 5 66141 67141
1 5 66141 67141
2 5 66141 67141
3 5 66141 67141
0 5 66297 67297
1 5 66297 67297
2 5 66297 67297
3 5 66452 67452
2 5 66608 67608
3 5 66608 67608
0 5 66763 67763
1 5 66763 67763
3 5 66763 67763
2 5 66919 67919
0 5 67074 68074
0 5 67229 68229
1 5 67229 68229
2 5 67229 68229
3 5 67229 68229
3 5 67385 68385
2 5 67540 68540
0 5 67696 68696
1 5 67851 68851
0 5 67851 68851
2 5 67851 68851
3 5 67851 68851
2 5 68007 69007
1 5 68162 69162
3 5 68317 69317
0 5 68473 69473
2 5 68473 69473
1 5 68628 69628
0 5 68784 69784
2 5 68784 69784
3 5 68784 69784
1 5 68939 69939
0 5 69095 70095
3 5 69095 70095
1 5 69250 70250
2 5 69250 70250
3 5 69250 70250
0 5 69406 70406
3 5 69561 70561
0 5 69716 70716
1 5 69716 70716
2 5 69716 70716
3 5 69716 70716
1 5 69872 70872
2 5 70027 71027
3 5 70183 71183
0 5 70338 71338
1 5 70338 71338
2 5 70338 71338
3 5 70338 71338
0 5 70494 71494
1 5 70649 71649
2 5 70649 71649
3 5 70649 71649
3 5 70805 71805
0 5 70960 71960
1 5 70960 71960
2 5 70960 71960
3 5 70960 71960
1 5 71115 72115
0 5 71271 72271
1 5 71271 72271
3 5 71271 72271
2 5 71426 72426
0 5 71582 72582
1 5 71582 72582
0 5 71737 72737
2 5 71737 72737
3 5 71737 72737
1 5 71893 72893
3 5 72048 73048
0 5 72203 73203
1 5 72203 73203
2 5 72203 73203
3 5 72203 73203
1 5 72359 73359
0 5 72514 73514
1 5 72514 73514
3 5 72514 73514
2 5 72670 73670
0 5 72825 73825
1 5 72825 73825
3 5 72981 73981
2 5 73136 74136
1 5 73292 74292
0 5 73447 74447
3 5 73447 74447
2 5 73602 74602
1 5 73758 74758
3 5 73758 74758
1 5 73913 74913
3 5 73913 74913
0 5 74069 75069
1 5 74069 75069
2 5 74069 75069
0 5 74224 75224
2 5 74224 75224
0 5 74380 75380
0 5 74535 75535
1 5 74691 75691
2 5 74691 75691
3 5 74691 75691
2 5 74846 75846
3 5 74846 75846
2 5 75001 76001
3 5 75001 76001
0 5 75157 76157
1 5 75157 76157
3 5 75157 76157
2 5 75312 76312
2 5 75468 76468
0 5 75623 76623
3 5 75623 76623
0 5 75779 76779
3 5 75779 76779
0 5 75934 76934
3 5 75934 76934
0 5 76090 77090
3 5 76090 77090
1 5 76245 77245
2 5 76245 77245
1 5 76400 77400
2 5 76556 77556
2 5 76711 77711
1 5 76867 77867
1 5 77022 78022
2 5 77178 78178
2 5 77333 78333
1 5 77488 78488
1 5 77644 78644
2 5 77799 78799
2 5 77955 78955
1 5 78110 79110
1 5 78266 79266
2 5 78421 79421
2 5 78577 79577
0 5 78732 79732
1 5 78732 79732
3 5 78732 79732
0 5 78887 79887
2 5 79043 80043
3 5 79043 80043
1 5 79354 80354
0 5 79665 80665
2 5 79665 80665
3 5 79976 80976
0 5 80286 81286
1 5 80286 81286
2 5 80597 81597
0 5 80908 81908
3 5 80908 81908
1 5 81064 82064
1 5 81219 82219
2 5 81530 82530
3 5 81530 82530
0 5 81841 82841
1 5 82152 83152
2 5 82152 83152
3 5 82463 83463
0 5 82773 83773
1 5 82773 83773
2 5 83084 84084
1 5 83395 84395
3 5 83395 84395
3 5 83551 84551
2 5 83628 84628
0 5 83706 84706
1 5 83706 84706
2 5 84017 85017
3 5 84017 85017
0 5 84328 85328
1 5 84639 85639
3 5 84639 85639
2 5 84950 85950
0 5 85260 86260
3 5 85260 86260
2 5 85571 86571
0 5 85882 86882
1 5 85882 86882
3 5 86038 87038
1 5 86193 87193
2 5 86193 87193
3 5 86193 87193
1 5 86349 87349
0 5 86504 87504
3 5 86504 87504
3 5 86659 87659
1 5 86815 87815
1 5 86970 87970
0 5 87126 88126
3 5 87126 88126
3 5 87281 88281
1 5 87437 88437
1 5 87592 88592
2 5 87748 88748
3 5 87748 88748
3 5 87903 88903
1 5 88058 89058
1 5 88214 89214
2 5 88369 89369
3 5 88369 89369
3 5 88525 89525
0 5 88680 89680
1 5 88680 89680
2 5 88680 89680
0 5 88836 89836
1 5 88991 89991
3 5 88991 89991
2 5 89302 90302
0 5 89613 90613
1 5 89613 90613
3 5 89924 90924
1 5 90235 91235
2 5 90235 91235
0 5 90545 91545
1 5 90856 91856
3 5 90856 91856
2 5 91012 92012
2 5 91167 92167
0 5 91478 92478
1 5 91478 92478
3 5 91789 92789
1 5 92100 93100
2 5 92100 93100
0 5 92411 93411
2 5 92722 93722
3 5 92722 93722
1 5 93033 94033
2 5 93343 94343
3 5 93343 94343
0 5 93499 94499
1 5 93577 94577
2 5 93654 94654
3 5 93654 94654
1 5 93965 94965
2 5 93965 94965
0 5 94276 95276
1 5 94587 95587
3 5 94587 95587
2 5 94898 95898
0 5 95209 96209
3 5 95209 96209
1 5 95520 96520
2 5 95830 96830
3 5 95830 96830
0 5 95986 96986
0 5 96141 97141
1 5 96141 97141
2 5 96141 97141
1 5 96297 97297
2 5 96452 97452
3 5 96452 97452
3 5 96608 97608
1 5 96763 97763
1 5 96919 97919
2 5 97074 98074
3 5 97074 98074
3 5 97229 98229
1 5 97385 98385
1 5 97540 98540
0 5 97696 98696
3 5 97696 98696
3 5 97851 98851
1 5 98007 99007
1 5 98162 99162
2 5 98317 99317
3 5 98317 99317
3 5 98473 99473
0 5 98628 99628
1 5 98628 99628
2 5 98628 99628
0 5 98784 99784
1 5 98939 99939
3 5 98939 99939
1 5 99250 100250
1 5 99406 100406
0 5 99561 100561
3 5 99561 100561
0 5 99872 100872
3 5 99872 100872
0 5 100027 101027
1 5 100183 101183
2 5 100183 101183
2 5 100494 101494
2 5 100649 101649
0 5 100805 101805
1 5 100805 101805
0 5 101115 102115
2 5 101115 102115
0 5 101271 102271
1 5 101426 102426
3 5 101426 102426
1 5 101737 102737
1 5 101893 102893
0 5 102048 103048
3 5 102048 103048
0 5 102359 103359
1 5 102359 103359
0 5 102514 103514
2 5 102670 103670
3 5 102670 103670
3 5 102981 103981
3 5 103136 104136
0 5 103292 104292
2 5 103292 104292
3 5 103447 104447
0 5 103602 104602
3 5 103602 104602
3 5 103758 104758
1 5 103913 104913
2 5 103913 104913
2 5 104224 105224
2 5 104380 105380
1 5 104535 105535
3 5 104535 105535
0 5 104846 105846
1 5 104846 105846
1 5 105001 106001
2 5 105157 106157
3 5 105157 106157
3 5 105468 106468
3 5 105623 106623
1 5 105779 106779
2 5 105779 106779
3 5 105934 106934
2 5 106090 107090
3 5 106090 107090
0 5 106400 107400
3 5 106400 107400
3 5 106711 107711
3 5 106867 107867
0 5 107022 108022
1 5 107022 108022
0 5 107333 108333
0 5 107488 108488
1 5 107644 108644
3 5 107644 108644
1 5 107955 108955
1 5 108110 109110
0 5 108266 109266
3 5 108266 109266
1 5 108421 109421
1 5 108577 109577
3 5 108577 109577
1 5 108732 109732
0 5 109043 110043
1 5 109198 110198
2 5 109198 110198
2 5 109665 110665
1 5 109976 110976
1 5 110131 111131
0 5 110442 111442
2 5 110442 111442
1 5 110908 111908
0 5 111064 112064
1 5 111064 112064
2 5 111064 112064
0 5 111219 112219
0 5 111374 112374
0 5 111530 112530
3 5 111530 112530
0 5 111685 112685
3 5 111685 112685
0 5 111841 112841
2 5 111841 112841
3 5 111841 112841
0 5 111996 112996
2 5 111996 112996
3 5 111996 112996
0 5 112152 113152
2 5 112152 113152
3 5 112152 113152
0 5 112307 113307
2 5 112307 113307
3 5 112307 113307
1 5 112929 113929
2 5 112929 113929
3 5 112929 113929
0 5 113084 114084
1 5 113084 114084
2 5 113084 114084
0 5 113240 114240
1 5 113240 114240
3 5 113240 114240
1 5 113395 114395
2 5 113395 114395
3 5 113395 114395
0 5 113551 114551
2 5 113551 114551
3 5 113551 114551
1 5 113706 114706
2 5 113862 114862
3 5 113862 114862
0 5 114017 115017
1 5 114017 115017
2 5 114017 115017
3 5 114172 115172
0 5 114328 115328
0 5 114483 115483
1 5 114483 115483
2 5 114483 115483
3 5 114483 115483
2 5 114639 115639
1 5 114794 115794
0 5 114950 115950
1 5 115105 116105
3 5 115105 116105
0 5 115260 116260
2 5 115260 116260
0 5 115416 116416
1 5 115416 116416
3 5 115416 116416
1 5 115571 116571
2 5 115571 116571
3 5 115571 116571
0 5 115727 116727
1 5 115727 116727
2 5 115727 116727
3 5 115727 116727
0 5 115882 116882
1 5 115882 116882
3 5 115882 116882
0 5 116038 117038
2 5 116038 117038
3 5 116038 117038
1 5 116193 117193
2 5 116349 117349
3 5 116349 117349
0 5 116504 117504
1 5 116504 117504
2 5 116504 117504
3 5 116659 117659
0 5 116815 117815
0 5 116970 117970
1 5 116970 117970
2 5 116970 117970
3 5 116970 117970
2 5 117126 118126
0 5 117281 118281
1 5 117437 118437
0 5 117592 118592
2 5 117592 118592
3 5 117748 118748
0 5 117903 118903
1 5 117903 118903
2 5 117903 118903
0 5 118058 119058
2 5 118058 119058
3 5 118058 119058
0 5 118214 119214
1 5 118214 119214
2 5 118214 119214
3 5 118214 119214
1 5 118369 119369
2 5 118369 119369
3 5 118369 119369
0 5 118525 119525
1 5 118525 119525
2 5 118525 119525
3 5 118680 119680
0 5 118836 119836
2 5 118836 119836
0 5 118991 119991
1 5 118991 119991
3 5 118991 119991
2 5 119146 120146
0 5 119302 120302
0 5 119457 120457
1 5 119457 120457
2 5 119457 120457
3 5 119457 120457
3 5 119613 120613
1 5 119768 120768
0 5 119924 120924
1 5 120079 121079
2 5 120079 121079
3 5 120235 121235
0 5 120390 121390
1 5 120390 121390
2 5 120390 121390
0 5 120545 121545
2 5 120545 121545
3 5 120545 121545
0 5 120701 121701
1 5 120701 121701
2 5 120701 121701
3 5 120701 121701
0 5 120856 121856
1 5 120856 121856
3 5 120856 121856
1 5 121012 122012
2 5 121012 122012
3 5 121012 122012
0 5 121167 122167
1 5 121323 122323
3 5 121323 122323
0 5 121478 122478
1 5 121478 122478
2 5 121478 122478
3 5 121634 122634
0 5 121789 122789
0 5 121944 122944
1 5 121944 122944
2 5 121944 122944
3 5 121944 122944
3 5 122100 123100
2 5 122255 123255
1 5 122411 123411
3 5 122411 123411
0 5 122566 123566
2 5 122722 123722
0 5 122877 123877
1 5 122877 123877
2 5 122877 123877
3 5 122877 123877
0 5 123033 124033
1 5 123033 124033
3 5 123033 124033
0 5 123188 124188
1 5 123188 124188
2 5 123188 124188
3 5 123188 124188
0 5 123343 124343
1 5 123343 124343
2 5 123343 124343
3 5 123343 124343
0 5 123499 124499
2 5 123499 124499
3 5 123499 124499
1 5 123654 124654
0 5 123810 124810
3 5 123810 124810
1 5 123965 124965
2 5 123965 124965
3 5 123965 124965
0 5 124121 125121
2 5 124276 125276
0 5 124431 125431
1 5 124431 125431
2 5 124431 125431
3 5 124431 125431
0 5 124587 125587
2 5 124742 125742
3 5 124898 125898
0 5 125053 126053
1 5 125053 126053
2 5 125053 126053
3 5 125053 126053
1 5 125209 126209
2 5 125364 126364
3 5 125520 126520
0 5 125675 126675
1 5 125675 126675
2 5 125830 126830
0 5 125986 126986
1 5 125986 126986
3 5 125986 126986
2 5 126141 127141
0 5 126297 127297
3 5 126297 127297
0 5 126452 127452
1 5 126452 127452
2 5 126452 127452
3 5 126608 127608
0 5 126763 127763
0 5 126919 127919
1 5 126919 127919
2 5 126919 127919
3 5 126919 127919
3 5 127074 128074
2 5 127229 128229
1 5 127385 128385
0 5 127540 128540
1 5 127540 128540
2 5 127540 128540
3 5 127540 128540
3 5 127696 128696
0 5 127851 128851
2 5 127851 128851
3 5 127851 128851
0 5 128007 129007
0 5 128162 129162
1 5 128162 129162
2 5 128162 129162
3 5 128162 129162
2 5 128317 129317
1 5 128473 129473
2 5 128473 129473
3 5 128473 129473
0 5 128628 129628
1 5 128784 129784
3 5 128784 129784
0 5 128939 129939
1 5 128939 129939
2 5 128939 129939
3 5 129095 130095
2 5 129250 130250
0 5 129406 130406
1 5 129406 130406
3 5 129561 130561
0 5 129716 130716
2 5 129716 130716
3 5 129716 130716
0 5 129872 130872
1 5 129872 130872
2 5 129872 130872
2 5 130027 131027
3 5 130027 131027
0 5 130183 131183
1 5 130183 131183
3 5 130183 131183
2 5 130338 131338
0 5 130494 131494
0 5 130649 131649
1 5 130649 131649
2 5 130649 131649
3 5 130649 131649
1 5 130805 131805
2 5 130805 131805
3 5 130805 131805
0 5 130960 131960
2 5 130960 131960
0 5 131115 132115
2 5 131115 132115
0 5 131271 132271
1 5 131271 132271
3 5 131271 132271
1 5 131426 132426
2 5 131426 132426
1 5 131582 132582
1 5 131737 132737
0 5 131893 132893
2 5 131893 132893
3 5 131893 132893
2 5 132048 133048
3 5 132048 133048
2 5 132203 133203
3 5 132203 133203
0 5 132359 133359
1 5 132359 133359
2 5 132359 133359
0 5 132514 133514
0 5 132670 133670
1 5 132825 133825
2 5 132825 133825
1 5 132981 133981
2 5 132981 133981
1 5 133136 134136
2 5 133136 134136
1 5 133292 134292
2 5 133292 134292
0 5 133447 134447
3 5 133447 134447
2 5 133602 134602
0 5 133758 134758
1 5 133758 134758
3 5 133913 134913
0 5 134069 135069
2 5 134224 135224
1 5 134380 135380
3 5 134380 135380
0 5 134535 135535
3 5 134691 135691
1 5 134846 135846
2 5 135001 136001
3 5 135001 136001
0 5 135157 136157
1 5 135312 136312
3 5 135468 136468
0 5 135623 136623
1 5 135623 136623
2 5 135779 136779
1 5 135934 136934
3 5 135934 136934
0 5 136090 137090
1 5 136245 137245
2 5 136245 137245
3 5 136400 137400
2 5 136556 137556
1 5 136711 137711
0 5 136867 137867
2 5 136867 137867
3 5 137022 138022
1 5 137178 138178
2 5 137333 138333
3 5 137333 138333
0 5 137488 138488
3 5 137644 138644
1 5 137799 138799
2 5 137799 138799
0 5 137955 138955
1 5 138110 139110
3 5 138110 139110
2 5 138266 139266
3 5 138421 139421
0 5 138577 139577
0 5 138732 139732
1 5 138732 139732
3 5 138732 139732
2 5 138887 139887
3 5 139043 140043
0 5 139198 140198
1 5 139198 140198
2 5 139354 140354
3 5 139354 140354
0 5 139509 140509
1 5 139665 140665
2 5 139665 140665
3 5 139820 140820
0 5 139976 140976
2 5 139976 140976
1 5 140131 141131
3 5 140131 141131
0 5 140286 141286
2 5 140442 141442
0 5 140597 141597
1 5 140597 141597
3 5 140597 141597
2 5 140753 141753
1 5 140908 141908
3 5 140908 141908
0 5 141064 142064
2 5 141064 142064
1 5 141219 142219
2 5 141219 142219
3 5 141219 142219
0 5 141374 142374
3 5 141530 142530
1 5 141685 142685
2 5 141685 142685
0 5 141841 142841
3 5 141841 142841
2 5 141996 142996
1 5 142152 143152
3 5 142152 143152
0 5 142307 143307
2 5 142463 143463
3 5 142463 143463
0 5 142618 143618
1 5 142618 143618
3 5 142773 143773
0 5 142929 143929
1 5 143084 144084
2 5 143084 144084
3 5 143084 144084
0 5 143240 144240
2 5 143395 144395
3 5 143395 144395
1 5 143551 144551
0 5 143706 144706
2 5 143706 144706
3 5 143706 144706
1 5 143862 144862
0 5 144017 145017
2 5 144017 145017
3 5 144172 145172
1 5 144328 145328
2 5 144328 145328
0 5 144483 145483
3 5 144483 145483
1 5 144639 145639
2 5 144794 145794
3 5 144794 145794
0 5 144950 145950
1 5 144950 145950
3 5 144950 145950
1 5 145105 146105
2 5 145105 146105
