RUNNING IN THE 90'S
2 5 72097 73097
3 5 72665 73665
1 5 72854 73854
2 5 73422 74422
3 5 73990 74990
0 5 74179 75179
2 5 74274 75274
0 5 74368 75368
1 5 74747 75747
2 5 75125 76125
3 5 75693 76693
0 5 75882 76882
2 5 76450 77450
3 5 77018 78018
2 5 77397 78397
1 5 77964 78964
2 5 78059 79059
1 5 78154 79154
2 5 78721 79721
1 5 78911 79911
2 5 79479 80479
0 5 79857 80857
3 5 80425 81425
2 5 80993 81993
1 5 81561 82561
0 5 81939 82939
3 5 82507 83507
0 5 83075 84075
3 5 83264 84264
0 5 83453 84453
1 5 83832 84832
3 5 84210 85210
1 5 84589 85589
2 5 84968 85968
0 5 85346 86346
1 5 85725 86725
3 5 86482 87482
2 5 87239 88239
0 5 87617 88617
1 5 87996 88996
0 5 88374 89374
1 5 88753 89753
2 5 89132 90132
1 5 89510 90510
2 5 89889 90889
1 5 90267 91267
2 5 90646 91646
0 5 90835 91835
3 5 91024 92024
0 5 91403 92403
2 5 91592 92592
1 5 91781 92781
0 5 92539 93539
2 5 93296 94296
3 5 93674 94674
2 5 93863 94863
3 5 94053 95053
1 5 94431 95431
2 5 94621 95621
0 5 94810 95810
2 5 94904 95904
3 5 96324 97324
1 5 96703 97703
0 5 97081 98081
1 5 97270 98270
3 5 97838 98838
2 5 98217 99217
3 5 98595 99595
0 5 98785 99785
3 5 99163 100163
0 5 99731 100731
3 5 99920 100920
2 5 100488 101488
0 5 100677 101677
2 5 100867 101867
1 5 101813 102813
0 5 102192 103192
1 5 102381 103381
3 5 102759 103759
0 5 103138 104138
1 5 103327 104327
2 5 103706 104706
0 5 103800 104800
2 5 103895 104895
3 5 104463 105463
1 5 104652 105652
3 5 104841 105841
2 5 105220 106220
1 5 105788 106788
2 5 105977 106977
0 5 106545 107545
3 5 106734 107734
0 5 106923 107923
3 5 107870 108870
2 5 108248 109248
3 5 108438 109438
0 5 109384 110384
2 5 109573 110573
1 5 109952 110952
3 5 110331 111331
2 5 110709 111709
3 5 110898 111898
2 5 111466 112466
0 5 112412 113412
1 5 112602 113602
0 5 112791 113791
3 5 112886 113886
2 5 112980 113980
1 5 113548 114548
3 5 114116 115116
1 5 114305 115305
2 5 114494 115494
3 5 115062 116062
0 5 115251 116251
1 5 115630 116630
2 5 116009 117009
1 5 116198 117198
3 5 116387 117387
2 5 116576 117576
3 5 116766 117766
1 5 116955 117955
3 5 117523 118523
2 5 118469 119469
0 5 118658 119658
2 5 119037 120037
1 5 119416 120416
2 5 119794 120794
1 5 120173 121173
2 5 120551 121551
3 5 121119 122119
2 5 121308 122308
0 5 121876 122876
3 5 122255 123255
2 5 122633 123633
0 5 122822 123822
3 5 123012 124012
2 5 123106 124106
0 5 123201 124201
3 5 123390 124390
1 5 123580 124580
3 5 124147 125147
1 5 124337 125337
3 5 124904 125904
1 5 125472 126472
2 5 125662 126662
1 5 125756 126756
2 5 125851 126851
1 5 126229 127229
0 5 126608 127608
2 5 127176 128176
3 5 127365 128365
0 5 127933 128933
2 5 128311 129311
0 5 128879 129879
3 5 129068 130068
0 5 129163 130163
3 5 129258 130258
0 5 129447 130447
3 5 130015 131015
1 5 130393 131393
0 5 130961 131961
3 5 131529 132529
2 5 131908 132908
3 5 132286 133286
1 5 132381 133381
3 5 132475 133475
1 5 132570 133570
2 5 132665 133665
3 5 133233 134233
0 5 133422 134422
1 5 133990 134990
3 5 134557 135557
2 5 134747 135747
0 5 134841 135841
1 5 134936 135936
0 5 135315 136315
1 5 135693 136693
3 5 136261 137261
1 5 136450 137450
3 5 137018 138018
1 5 137586 138586
3 5 137964 138964
0 5 138532 139532
1 5 138627 139627
2 5 138721 139721
3 5 139289 140289
0 5 139479 140479
3 5 140046 141046
0 5 140425 141425
3 5 140993 141993
0 5 141561 142561
2 5 142128 143128
0 5 142507 143507
3 5 143075 144075
2 5 143643 144643
0 5 143832 144832
1 5 144021 145021
3 5 144400 145400
0 5 144778 145778
3 5 155378 156378
0 5 156892 157892
3 5 157460 158460
0 5 158217 159217
3 5 158406 159406
1 5 158974 159974
0 5 159731 160731
2 5 159920 160920
0 5 160488 161488
3 5 161245 162245
0 5 161434 162434
3 5 162381 163381
1 5 162949 163949
3 5 163516 164516
0 5 164274 165274
3 5 164368 165368
1 5 164463 165463
3 5 165031 166031
2 5 165788 166788
1 5 165882 166882
2 5 165977 166977
0 5 166545 167545
1 5 167302 168302
0 5 167491 168491
2 5 168059 169059
3 5 168154 169154
1 5 168248 169248
0 5 168438 169438
2 5 169005 170005
3 5 169573 170573
1 5 170141 171141
2 5 170330 171330
1 5 170425 171425
3 5 170520 171520
0 5 170709 171709
2 5 171277 172277
3 5 171466 172466
0 5 171561 172561
1 5 171655 172655
2 5 172034 173034
3 5 172602 173602
0 5 173169 174169
3 5 173359 174359
2 5 173453 174453
0 5 173548 174548
2 5 173927 174927
3 5 174305 175305
1 5 174684 175684
3 5 175062 176062
0 5 175630 176630
3 5 176198 177198
2 5 176387 177387
1 5 176482 177482
3 5 176576 177576
2 5 176766 177766
1 5 177333 178333
0 5 177523 178523
3 5 177712 178712
1 5 177901 178901
3 5 177996 178996
2 5 178091 179091
0 5 178658 179658
2 5 179226 180226
3 5 179416 180416
0 5 179605 180605
1 5 179983 180983
3 5 180362 181362
1 5 180740 181740
3 5 181119 182119
1 5 181687 182687
3 5 181876 182876
2 5 182444 183444
3 5 183012 184012
0 5 183390 184390
3 5 183580 184580
2 5 183674 184674
1 5 183769 184769
2 5 183958 184958
1 5 184147 185147
2 5 184715 185715
0 5 184904 185904
3 5 185472 186472
2 5 186040 187040
1 5 186229 187229
3 5 186324 187324
1 5 186419 187419
0 5 186797 187797
1 5 187176 188176
2 5 187744 188744
0 5 187933 188933
2 5 188501 189501
0 5 188879 189879
2 5 189447 190447
0 5 189636 190636
1 5 189731 190731
0 5 189826 190826
1 5 190015 191015
0 5 190583 191583
1 5 190961 191961
0 5 191529 192529
3 5 192097 193097
1 5 192475 193475
0 5 192854 193854
2 5 192949 193949
3 5 193043 194043
2 5 193138 194138
0 5 193233 194233
2 5 193800 194800
3 5 193990 194990
2 5 194557 195557
1 5 195125 196125
2 5 195315 196315
3 5 195409 196409
2 5 195504 196504
1 5 195882 196882
3 5 196261 197261
0 5 196829 197829
3 5 197018 198018
2 5 197586 198586
1 5 198154 199154
2 5 198532 199532
3 5 198911 199911
0 5 199289 200289
1 5 199857 200857
3 5 200046 201046
0 5 200614 201614
1 5 200993 201993
0 5 201561 202561
2 5 202128 203128
3 5 202696 203696
2 5 202886 203886
1 5 203075 204075
2 5 203643 204643
3 5 204210 205210
2 5 204400 205400
1 5 204589 205589
3 5 204968 205968
2 5 205346 206346
0 5 205725 206725
2 5 206103 207103
0 5 206482 207482
1 5 206860 207860
3 5 207617 208617
1 5 208374 209374
3 5 208753 209753
0 5 209132 210132
3 5 209510 210510
1 5 209889 210889
3 5 210267 211267
0 5 210646 211646
3 5 211024 212024
1 5 211403 212403
0 5 211781 212781
2 5 211971 212971
3 5 212160 213160
1 5 212539 213539
3 5 212728 213728
1 5 212917 213917
3 5 213674 214674
2 5 214431 215431
0 5 214810 215810
2 5 214999 215999
0 5 215188 216188
1 5 215567 216567
2 5 215756 216756
3 5 215945 216945
1 5 216040 217040
0 5 217460 218460
2 5 218217 219217
1 5 219002 220002
2 5 219969 220969
3 5 220550 221550
0 5 221117 222117
3 5 221307 222307
1 5 221874 222874
