RUNNING IN THE 90'S
1 5 132286 133286
0 5 132665 133665
3 5 133422 134422
1 5 133990 134990
3 5 134368 135368
2 5 134936 135936
0 5 135315 136315
2 5 135504 136504
0 5 135693 136693
2 5 136261 137261
0 5 136450 137450
1 5 136829 137829
3 5 137397 138397
2 5 137964 138964
1 5 138343 139343
3 5 138721 139721
0 5 139479 140479
3 5 140046 141046
0 5 140425 141425
2 5 140993 141993
1 5 141561 142561
0 5 142128 143128
3 5 142507 143507
2 5 143075 144075
0 5 143643 144643
3 5 144400 145400
0 5 144778 145778
2 5 145157 146157
1 5 145535 146535
3 5 145914 146914
2 5 146292 147292
1 5 147050 148050
0 5 147807 148807
2 5 148185 149185
3 5 148564 149564
0 5 148942 149942
2 5 149321 150321
1 5 150078 151078
0 5 150835 151835
2 5 151214 152214
0 5 151592 152592
3 5 151971 152971
0 5 152349 153349
2 5 153106 154106
1 5 153863 154863
0 5 154242 155242
1 5 154621 155621
0 5 155000 156000
3 5 155378 156378
0 5 156892 157892
3 5 161434 162434
0 5 161813 162813
3 5 162192 163192
1 5 162381 163381
3 5 167491 168491
0 5 167870 168870
1 5 168249 169249
3 5 168438 169438
0 5 169005 170005
3 5 169384 170384
0 5 169573 170573
3 5 170141 171141
1 5 170709 171709
3 5 171087 172087
2 5 171466 172466
3 5 172034 173034
2 5 172412 173412
3 5 172602 173602
1 5 173169 174169
2 5 173548 174548
3 5 173927 174927
1 5 174305 175305
3 5 174684 175684
1 5 175062 176062
0 5 175630 176630
2 5 176198 177198
3 5 176766 177766
1 5 177144 178144
2 5 177523 178523
0 5 178091 179091
2 5 178658 179658
3 5 179226 180226
0 5 179605 180605
3 5 179983 180983
2 5 180362 181362
1 5 180740 181740
2 5 181119 182119
3 5 181876 182876
0 5 182255 183255
1 5 182822 183822
0 5 183390 184390
2 5 183769 184769
0 5 183958 184958
2 5 184147 185147
0 5 184715 185715
2 5 184904 185904
0 5 185283 186283
2 5 185472 186472
0 5 185851 186851
2 5 186419 187419
0 5 186797 187797
1 5 187176 188176
2 5 187933 188933
1 5 188311 189311
3 5 188879 189879
1 5 189447 190447
3 5 189826 190826
1 5 190015 191015
2 5 190583 191583
3 5 190772 191772
1 5 190961 191961
0 5 191529 192529
2 5 191908 192908
1 5 192475 193475
3 5 192854 193854
1 5 193233 194233
2 5 193990 194990
1 5 194368 195368
0 5 194936 195936
3 5 195504 196504
2 5 195882 196882
3 5 196072 197072
2 5 196261 197261
1 5 196829 197829
3 5 197018 198018
0 5 197397 198397
2 5 197586 198586
3 5 197964 198964
2 5 198532 199532
1 5 198911 199911
2 5 199289 200289
1 5 200046 201046
3 5 200425 201425
1 5 200993 201993
0 5 201561 202561
1 5 201939 202939
0 5 202128 203128
1 5 202696 203696
3 5 202886 203886
2 5 203075 204075
1 5 203643 204643
2 5 204210 205210
1 5 204968 205968
2 5 205346 206346
3 5 206103 207103
0 5 206860 207860
1 5 207617 208617
2 5 208374 209374
1 5 208753 209753
3 5 209132 210132
1 5 209511 210511
0 5 209889 210889
2 5 210646 211646
1 5 211403 212403
0 5 212160 213160
2 5 212917 213917
3 5 213674 214674
1 5 214431 215431
2 5 214810 215810
1 5 215188 216188
2 5 215567 216567
3 5 215945 216945
1 5 217460 218460
0 5 217838 218838
1 5 218217 219217
3 5 218595 219595
1 5 219002 220002
0 5 219389 220389
3 5 219776 220776
0 5 220550 221550
1 5 221117 222117
2 5 221685 222685
